,content,time,forward,comment,like,VIP,link
0,榴莲原本不是黄色的，正因为国内消费者都认为黄色的才是好，所以就有了这道工序！好与坏自己细品吧！#冷知识#情侣图的微博视频​​​,21-12-7 09:45,0,0,0,1,1
1,榴莲原本不是黄色的，正因为国内消费者都认为黄色的才是好，所以就有了这道工序！好与坏自己细品吧！#走心视频##搞笑视频##幽默视频冲浪季#搞笑老妹的微博视频​​​,21-12-6 04:44,150,54,1342,1,1
2,『法国黑人议员提议将法国改名为“法兰西斯坦”』 ​​​,21-11-28 17:18,11,6,34,1,0
3,当前公司裁员，汇总：1、百度无人驾驶部门大面积裁员，比例不详，原因是没有车厂愿意量产。2、腾讯PCG将开始大规模人员优化，比例30%，中高管采取聘任制，一年一签。3、字节跳动某些部门开始找应届生谈话，估计是先从应届生开始优化。4、滴滴年终奖年后发，绩效越高的人奖金越多，C可能没奖金，高管里10%不合格的直接淘汰。5、哈啰全面冻结明年新增HC(仅个别项目除外)，带不出业绩的干部要淘汰。未来要加大绩效占员工收入的比重。6、携程上海总部裁员30%，赔偿n+1，年终奖2月底发。7、神州优车已经开始裁员，HR直接到工位宣读辞退通知，强调单方面解约，员工不服可以去仲裁。8、瓜子年底预计裁员30%,21-12-3 12:38,0,0,0,0,0
4,当前公司裁员 汇总：（转载，求证实，顿时觉得自己的工作很香）1、百度无人驾驶部门大面积裁员，比例不详，原因是没有车厂愿意量产。2、腾讯PCG将开始大规模人员优化，比例30%，中高管采取聘任制，一年一签。3、字节跳动某些部门开始找应届生谈话，估计是先从应届生开始优化。4、滴滴年终奖年后发，绩效越高的人奖金越多，C可能没奖金，高管里10%不合格的直接淘汰。5、哈啰全面冻结明年新增HC(仅个别项目除外)，带不出业绩的干部要淘汰。未来要加大绩效占员工收入的比重。6、携程上海总部裁员30%，赔偿n+1，年终奖2月底发。7、神州优车已经开始裁员，HR直接到工位宣读辞退通知，强调单方面解约，员工不服可以去仲裁。8、瓜子年底预计裁员30%，租车，车后等个别部门裁员比例50%。9、苏宁北京研发中心裁员，有的部门裁员比例达到70%，赔偿n+1，五天之内走人，留下的人年终奖只有1个月。10、新浪阅读业务线裁员90%，赔偿n+1，现场结账，原地解散，产品、测试、审核等部门连锅端，只剩下十几个技术。11、vipkid裁员15%-25%，没有年终奖，今年年会取消。12、马蜂窝裁员40%，且没有年终奖。13、唯品会裁员，有n+1，大部分没年终奖。14、去哪儿从应届生下手，花式裁员，不给赔偿。15、宜信12月已经开始裁员，门店是重灾区，外包技术被优先砍掉，总体比例25%，今年也没有年终奖。16、水滴筹裁员，包括一些新招进来的员工，且没有补偿。17、蔚来汽车发薪日调整，延后8天。且已经裁员千人。18、快手游戏部门、360都传出裁员消息，比例不详，据说360年前会走一大批。19、爱奇艺正进行一轮大规模裁员，裁员比例在 20% 到 40%，部分部门甚至全员被裁。此次裁员涉及多个部门，很多中层也在被裁之列。爱奇艺史上规模最大的一次裁员。#裁员#上海,21-12-6 12:48,0,0,0,0,1
5,雪崩的时候没有一片雪花是无辜的，你以为房地产快速萧条和你没关系的时候，其实你不知道这只蝴蝶翅膀的震动到底是引发了下一场热带风暴还是一次大规模雪崩。经济加速下行实锤，体制外大幅度裁员开始，体制内从大幅削减年终奖开始吧。 ​​​,21-11-30 15:08,83,35,127,1,0
6,#上海新增2例本土确诊病例#上海新增2例新冠确诊 为浦东机场境外货机作业区工作人员#今日热门#修道者的微博视频​​​,21-12-3 11:37,0,0,0,1,1
7,#湖北省禁养大型犬#这是知情人透漏武汉被抓走的狗狗，它们被抓进了犬留所后，有的被送进动物园当饲料，有的被整笼整笼地溺死，还有的大狗就卖给狗贩子，留下小狗打马虎眼，不给吃喝，狗饿得前胸贴后背，大狗吃小狗，惨不忍睹，还有的派初所上门抢狗..... ​​​,21-12-2 01:50,132,102,631,1,1
8,#湖北省禁养大型犬##萌宠#沉湖溺si狗🐶滥杀无辜，侵害群众权益。一起发声，一起发声，一起发声！！！ ​​​,21-12-2 14:15,0,0,0,0,1
9,#湖北省禁养大型犬#这事跟那年隐瞒不报有啥区别​​​,21-12-2 12:27,0,16,8,0,1
10,🆘️🆘️🆘️从明年3月1日开始，湖北省全省禁养大型犬，武汉武昌区南湖公园松涛苑小区，井茶已经开始上门登记了，没登记的狗要求狗主人一周内处理，不然就要上门带走，武昌区紫阳路也在上门入户登记拍照。其中武昌区各派初所，包括紫阳路派初所，将捕捉的几十只流浪狗，装铁笼子沉湖！太残忍.....狗的体型不能决定狗是否温顺，凭什么禁养大型犬，凭什么把几十只流浪狗沉湖，凭什么没被登记的狗就要被处理，凭什么随意剥夺狗狗的生命，请帮忙发声反对一刀切大屠杀，救救湖北省的所有大型犬和流浪狗，时间就是生命，谢谢各位.....#湖北省禁养大型犬##一沫真挚的情话#,21-12-2 16:04,0,0,0,1,1
11,🆘️🆘️🆘️从明年3月1日开始，湖北省全省禁养大型犬，武汉武昌区南湖公园松涛苑小区，井茶已经开始上门登记了，没登记的狗要求狗主人一周内处理，不然就要上门带走，武昌区紫阳路也在上门入户登记拍照。其中武昌区各派初所，包括紫阳路派初所，将捕捉的几十只流浪狗，装铁笼子沉湖！太残忍.. ​​​ ...展开,21-12-1 19:25,17000.0,2117,28000.0,1,0
12,#初中生楼顶抛购物车被控杀人未遂#女生重度抑郁在楼顶欲轻生，老师趁递水时机，一把将其拽回#今日热门#娱乐天书的微博视频​​​,21-11-30 02:48,12,38,162,0,1
13,#美团打车事业部独立#上海：执法部门向，美团打车，开出责令整改通知书#创作力计划#衝鋒号角的微博视频​​​,21-11-30 02:59,0,0,0,1,1
14,#美团打车事业部独立#上海：执法部门向，美团打车，开出责令整改通知书#创作力计划#衝鋒号角的微博视频​​​,21-11-30 03:14,0,0,0,1,1
15,#美团打车事业部独立#上海：执法部门向，美团打车，开出责令整改通知书#创作力计划#衝鋒号角的微博视频​​​,21-11-30 03:14,0,0,0,1,1
16,上海：执法部门向，美团打车，开出责令整改通知书#美团打车事业部独立#衝鋒号角的微博视频​​​,21-11-30 01:12,4,8,29,1,1
17,#南京鼓楼区发现密切接触者#南京发现17例阳性患者 排查出阳性检测人员的密切接触者157人#今日热门#相当红的微博视频​​​,21-11-28 10:15,0,0,0,0,1
18,#包头一醉酒男子掉进5米深井#11月25日，二连浩特市一男子醉酒后不慎跌入5米深井，后被消防员及民警联手救出。事发当日9时09分，锡林郭勒盟消防救援支队二连浩特市方正路消防救援站接到110转警称，新建边境互贸区一醉酒男子不慎掉入深井内。救援站立即出动1车8人前往救援。详情如下： ​​​,21-11-29 09:22,0,1,1,0,1
19,#包头一醉酒男子掉进5米深井#11月25日，二连浩特市一男子醉酒后不慎跌入5米深井，后被消防员及民警联手救出。事发当日9时09分，锡林郭勒盟消防救援支队二连浩特市方正路消防救援站接到110转警称，新建边境互贸区一醉酒男子不慎掉入深井内。救援站立即出动1车8人前往救援。详情如下： ​​​,21-11-29 09:22,0,3,17,0,1
20,#包头某女子因心情不好拿出租车撒气#市民罗女士有一辆出租车，经常晚上出来跑车，生意还算不错，就在前几天，罗女士像往常一样跑车，走到回民区牛街附近时，发生了一幕，不仅让罗女士的车受到了损坏，还把罗女士吓了个够呛。详情戳下图： ​​​,21-11-29 09:33,0,2,1,0,1
21,#包头某女子因心情不好拿出租车撒气#市民罗女士有一辆出租车，经常晚上出来跑车，生意还算不错，就在前几天，罗女士像往常一样跑车，走到回民区牛街附近时，发生了一幕，不仅让罗女士的车受到了损坏，还把罗女士吓了个够呛。详情戳下图： ​​​,21-11-29 09:33,0,7,20,0,1
22,#南京鼓楼区发现密切接触者#南京鼓楼区一出租车司机确诊 南京确诊的哥密接者除1人外皆为阴性#今日热门#相当红的微博视频​​​,21-11-28 10:29,0,4,5,0,1
23,事发地位于澳门，店员称国产品牌比不上苹果，爱国女子怒砸8台苹果笔记本，头也不回扬长而去。暗黑忍法帖的微博视频​​​,21-11-28 08:20,23,111,551,1,1
24,#上海地铁互殴女子均被行拘#两男子地铁互殴，结果让人意外#今日热门#围脖影视的微博视频​​​,21-11-17 05:21,0,2,4,1,1
25,路边社这个葛兰素史克的传闻，看来有可能是真的……要不然为啥今天上海这么多大医院莫名其妙紧急封锁不过按理说一堆医生扎堆出省，这么高风险的事他们应该有点意识才对啊……​​​,21-11-26 14:06,19,43,111,1,0
26,上海、杭州、徐州突发新冠病例据知情者说，疫情缘于葛兰素史克高级业务代表请各大医院科主任吃阳澄湖大闸蟹，结果吃出了一场悲剧防不胜防啊！ ​​​,21-11-26 20:54,4,32,60,1,0
27,接下来就是仁济医院暂停了。葛兰素请上海三甲医院消化科的白蚁魔鬼去苏州吃大闸蟹绝对少不了仁济医院的消化科白蚁魔鬼,21-11-26 18:42,405,1062,7470,0,0
28,太难了，深圳一外卖小哥确诊新型肺炎。十四天的潜伏期他一直在送外卖。他接触的商家和顾客也极有可能感染，然后被感染的商家又在潜伏期做了不少食物，可能嫌麻烦商家口罩都不带。顾客还好，在家的容易防控。那么问题来了，外卖小哥是不是也要穿防护服才行或者只有暂停外卖了？#幽默视频冲浪季#​​​,21-11-24 16:02,0,2,2,1,1
29,#上海9家医院暂停门急诊##大闸蟹#中午最新消息：上海昨天到今天共计已经有9家医院暂停门急诊，分别是：九院、新华医院、皮肤病院、瑞金医院、中山医院、同济医院、华山医院（虹桥院区））、闵行区中心医院、普陀区人民医院。坊间传闻：上海本轮疫情，与大闸蟹有关，静候相关确认信息。,21-11-26 13:43,4,41,96,1,1
30,疫情就是命令！！  ​​​,21-11-26 11:52,0,0,0,0,0
31,听说是一个医药代表请许多医院的医生吃饭，然后医药代表确诊了，医生、医院和病人都躺枪了。#上海9家医院暂停门急诊#​​​,21-11-26 13:57,0,3,1,0,1
32,药贩子请各地医生吃阳澄湖大闸蟹，然后长三角中招了…… ​​​,21-11-26 18:33,0,1,0,0,0
33,这么一堆阳性吃饱了，跑的真匀啊！大闸蟹被传染没？湖被传染没？船被传染没？这是集中投放了几个行走的病毒机！ ​​​,21-11-26 17:42,6,2,10,1,0
34,. 速转！十万火急❗❗❗❗❗❗ 各群免踢 :不管多忙，请转发到你的另外群。 各位朋友：中央电视台《焦点访谈》已经播出，务必把这条信息发给你知道的群。 康师傅方便面含有日本禁用农药「多菌灵」，多菌灵可致脑麻痺、肝脏腫瘤等癌症。包括正在销售的（果粒橙），康师傅矿泉水，康师傅冰红茶，绿茶，雪碧，可乐，原丹东鸭绿江啤酒，青岛啤酒，雪花啤酒，等康师傅一系列产品，里面都有多菌灵。香港食环署正在了解此事件。 专家指出，（多菌灵）跟其他农药一样，对脑部影响最大，可引致局部麻痹，并会导致癌症。 ——请火速转给你在乎的朋友，不要给孩子们吃康师傅方便面，不要给孩子喝康师傅品牌这种饮料。 . 速转！十万火急！！！ 亲:不管多忙，请转发到你的另外群。康师傅早就成了日本控股企业，康师傅企业的老板是日本人，日本太坏了，就是要慢性毒杀中国人啊！！有半点良心就转发吧鞍山网页链接,21-11-25 14:26,0,0,1,0,1
35,#郑州恒大辟谣解散##郑州楼市观察#今年日子不好过，明年会不会有好转呢？​​​,21-11-18 15:35,0,6,7,0,1
36,“我是抗疫护士，我被骗了50万！”网友：愤怒！近日，吉林长春一抗疫护士哭诉爆料称：我被诈骗50万，身上仅剩300元生活费，目前我家全家无法生活了！知情人表示：该女护士因为手机短信，可免费领取一个电饭煲，做任务可以得到巨额返利和佣金！在免费礼品和做活动返巨额佣金的诱惑下，赵女士最终越陷越深，导致家里仅有的50万全被诈骗一空！知情人表示：赵女士曾荣获“抗疫先进个人”，如今却因电信诈骗身无分文。小编点评：天下没有免费的午餐！不要相信天上掉馅饼的好事。希望国家严惩电信诈骗犯罪！您愿意帮助或者给这个被诈骗的抗疫先进医务工作者女孩捐款吗？对于此事，您怎么看？欢迎留言，发表您的观点。（小夕看世界）对此你有什么看法？#创作力计划#,21-11-24 09:42,5,19,46,1,1
37,转“我是抗疫护士，我被骗了50万！”近日，吉林长春一抗疫护士哭诉爆料称：我被诈骗50万，身上仅剩300元生活费，目前我家全家无法生活了！知情人表示：该女护士因为手机短信，可免费领取一个电饭煲，做任务可以得到巨额返利和佣金！在免费礼品和做活动返巨额佣金的诱惑下，赵女士最终越陷越深，导致家里仅有的50万全被诈骗一空！知情人表示：赵女士曾荣获“抗疫先进个人”，如今却因电信诈骗身无分文。（小夕看世界）武汉·大花岭,21-11-24 08:42,0,0,0,0,1
38,#菊园小区连夜开展全员核酸检测#北京顺义一小区出现疑似病例，居民全员核酸检测#今日热门#星座师渡舟的微博视频​​​,21-11-17 17:10,0,0,1,1,1
39,求证：网传郑州恒大正式解散？​​​,21-11-18 13:11,0,0,1,0,0
40,郑州恒大全面解散，一个时代结束了！ ​​​,21-11-19 07:20,4,1,14,1,0
41,阿富汗塔利班庆祝执政100天……​​​,21-11-21 11:34,99,55,265,0,0
42,请广泛传播，让更多的人了解这个手势！  ​​​搞笑爹的微博视频​​​,21-11-21 21:44,8,21,160,1,1
43,彪悍的塔利班执政阿富汗100天，领导们集体合影的侧面看官您第一眼看到的是什么？仅仅才100天呀！真所谓生于忧患，死于那个啥… ​​​,21-11-21 18:26,2,11,37,0,0
44,阿富汗塔利班庆祝执政100天…吃饱饱...无烦恼...#美国大选#​​​,21-11-21 18:28,1,0,2,0,1
45,阿富汗塔利班政府今天召开会议庆祝“为人民服务”执政100天。  ​​​,21-11-21 10:33,0,0,0,1,0
46,阿富汗塔利班政权庆祝执政100天 ​​​,21-11-21 06:49,346,163,5267,1,0
47,#73岁东莞#73岁东莞清溪镇企业家豪娶29岁广西大美女，代价是男方给女方88W彩礼钱和一套80万的二房加一台豪车。对于收入被平均的多数普通大众人来说，80万的彩礼钱是一辈子都不敢想的。 ​ ​​​,21-11-20 08:48,50,316,1436,1,1
48,#大连教师称不希望疫情停止被拘#大连公布新增1例本土确诊病例详情：为培训学校老师#今日热门#相当红的微博视频​​​,21-11-20 06:01,0,1,1,0,1
49,#北京中关村一居民快递检出阳性#北京新发地市场已有45人咽拭子阳性，已有40件环境阳性样本#今日热门#神兔影视的微博视频​​​,21-11-16 17:12,1,1,0,1,1
50,万达集团董事长王健林先生，于2021年11月15日下午14点28分，在北京病逝，享年67年岁。 ​​​,21-11-16 00:53,0,7,2,0,0
51,#北京中关村一居民快递检出阳性#新发地采集了517件样品中，有45人咽拭子阳性，并在海淀一农贸市场中发现1例阳性，上述46人目前无临床症状。#今日热门#小六子影视的微博视频​​​,21-11-16 17:24,0,0,0,1,1
52,大连封城了，半夜忽然想起来2020年初买了一件VOV的羽绒服，一直放在家里，感觉今年又穿不上了。 ​​​,21-11-14 01:18,1,11,5,1,0
53,据事后嫌犯周某人（网名某迅）日记供述，其在某次发薪后，到怡红院与妓女某红发生性关系，并付嫖资五元。根据治安法和宣传部文化部作协等部门联合处理，决定给予周某人作品调整出中小学生语文课本的处罚，并决定把周某人（网名某迅）所有作品下架处理。​​​,21-10-23 20:58,20,73,301,1,0
